rm_id_a,rm_id_b,avg_eligibility_score_shared,n_shared_sub_industry,total_approved_credit_shared,n_customers_shared,n_shared_industry,jaccard,n_shared_region,shared_segments,score_gap
RM0136,RM0129,0.6355714285714286,3,1800000000.0,7,3,0.12,4,3,0.0404684210526316
RM0136,RM0259,0.56125,2,575000000.0,4,3,0.15384615384615385,3,2,0.03843333333333332
RM0136,RM0112,0.7255,2,800000000.0,2,3,0.05,4,1,0.06903333333333339
RM0136,RM0044,0.7515000000000001,1,825000000.0,2,3,0.041666666666666664,4,1,0.05259999999999998
RM0136,RM0249,0.6735,3,1300000000.0,2,3,0.06666666666666667,3,1,0.018471428571428583
RM0136,RM0188,0.732,1,300000000.0,2,3,0.0625,4,1,0.0040111111111111875
RM0136,RM0127,0.7212500000000001,4,2025000000.0,4,3,0.1,4,2,0.003114285714285736
RM0136,RM0053,0.7335,2,125000000.0,2,3,0.047619047619047616,4,1,0.012023076923076914
RM0136,RM0031,0.738,3,2325000000.0,4,3,0.1,4,2,0.013457142857142723
RM0136,RM0121,0.6624,4,1500000000.0,5,3,0.09090909090909091,4,2,0.0678333333333333
RM0136,RM0042,0.653,1,200000000.0,2,3,0.047619047619047616,4,1,0.004814285714285771
RM0136,RM0126,0.6174999999999999,2,1200000000.0,2,3,0.05,4,1,0.004316666666666635
RM0136,RM0261,0.5974999999999999,1,700000000.0,2,2,0.06666666666666667,3,1,0.06738571428571427
RM0136,RM0253,0.7046,5,1100000000.0,5,3,0.08333333333333333,4,2,0.029099999999999904
RM0136,RM0185,0.7575,1,1200000000.0,2,2,0.05,4,1,0.02568333333333328
RM0136,RM0002,0.7462500000000001,4,1325000000.0,4,3,0.1,4,2,0.0625
RM0136,RM0181,0.68825,3,625000000.0,4,3,0.11764705882352941,4,2,0.06935000000000002
RM0136,RM0098,0.7304999999999999,1,275000000.0,2,2,0.07692307692307693,3,1,0.03743333333333332
RM0136,RM0005,0.681,1,500000000.0,2,1,0.058823529411764705,4,1,0.09959999999999991
RM0136,RM0130,0.55525,4,275000000.0,4,3,0.1111111111111111,4,2,0.001536363636363669
RM0136,RM0050,0.7218749999999999,5,1775000000.0,8,3,0.23529411764705882,4,4,0.08517692307692304
RM0136,RM0019,0.5775,2,75000000.0,2,3,0.047619047619047616,4,1,0.05283333333333329
RM0136,RM0200,0.6005,4,750000000.0,2,3,0.045454545454545456,4,1,0.022599999999999953
RM0136,RM0015,0.825,2,800000000.0,2,2,0.058823529411764705,4,1,0.06965555555555547
RM0136,RM0154,0.6567999999999999,3,2450000000.0,5,3,0.07142857142857142,4,2,0.0587363636363637
RM0136,RM0087,0.6363333333333333,3,1400000000.0,6,3,0.10526315789473684,4,2,0.05956153846153833
RM0136,RM0168,0.6869999999999999,2,600000000.0,3,3,0.045454545454545456,4,1,0.023566666666666625
RM0136,RM0082,0.68675,4,2200000000.0,4,3,0.09090909090909091,4,2,0.04056666666666664
RM0136,RM0236,0.6,3,1425000000.0,5,3,0.08,4,2,0.054576190476190445
RM0136,RM0033,0.6619999999999999,3,1075000000.0,2,3,0.047619047619047616,4,1,0.009233333333333316
RM0136,RM0226,0.7045,1,400000000.0,2,1,0.08333333333333333,3,1,0.03859999999999997
RM0136,RM0038,0.5225,4,100000000.0,2,3,0.038461538461538464,4,1,0.01529999999999998
RM0136,RM0151,0.6762,1,500000000.0,5,3,0.11764705882352941,4,2,0.049699999999999966
RM0136,RM0157,0.5845,3,750000000.0,2,3,0.058823529411764705,3,1,0.033299999999999885
RM0136,RM0110,0.632,2,500000000.0,2,3,0.06666666666666667,4,1,0.005099999999999993
RM0136,RM0128,0.6281666666666667,5,1250000000.0,6,3,0.125,4,3,0.009310526315789436
RM0136,RM0173,0.5565,1,200000000.0,2,1,0.07692307692307693,3,1,0.020499999999999963
RM0136,RM0256,0.6435,3,800000000.0,2,3,0.05555555555555555,4,1,0.08979999999999999
RM0136,RM0138,0.662625,5,1250000000.0,8,3,0.16666666666666666,4,3,0.03140769230769225
RM0136,RM0116,0.66725,3,1375000000.0,4,2,0.13333333333333333,4,2,0.07709999999999995
RM0136,RM0163,0.839,2,300000000.0,2,3,0.05,3,1,0.0014333333333332865
RM0136,RM0117,0.6425000000000001,1,75000000.0,2,2,0.058823529411764705,4,1,0.006099999999999994
RM0136,RM0092,0.8174999999999999,2,1200000000.0,2,2,0.07692307692307693,4,1,0.06143333333333334
RM0136,RM0183,0.6522,3,650000000.0,5,3,0.09090909090909091,4,2,0.05347499999999994
RM0136,RM0195,0.7497499999999999,2,1600000000.0,4,2,0.15384615384615385,2,2,0.0686
RM0136,RM0215,0.5995,3,1475000000.0,6,3,0.1,4,2,0.04604117647058814
RM0136,RM0239,0.71425,4,3300000000.0,8,3,0.21052631578947367,4,4,0.06924285714285705
RM0136,RM0159,0.6739999999999999,2,600000000.0,4,2,0.16666666666666666,3,2,0.04609999999999992
RM0136,RM0048,0.768,1,275000000.0,2,2,0.05263157894736842,3,1,0.06019090909090907
RM0136,RM0011,0.6963333333333334,4,2100000000.0,6,3,0.16666666666666666,4,3,0.022792307692307667
RM0136,RM0071,0.7153333333333333,2,1200000000.0,3,3,0.058823529411764705,4,1,0.0504
RM0136,RM0172,0.7515,4,1400000000.0,6,3,0.14285714285714285,4,3,0.027912500000000007
RM0136,RM0040,0.6065,2,275000000.0,2,3,0.045454545454545456,4,1,0.009399999999999964
RM0136,RM0028,0.6755,4,1200000000.0,2,3,0.058823529411764705,3,1,0.09976666666666656
RM0136,RM0109,0.7384999999999999,1,825000000.0,2,3,0.05,4,1,0.030066666666666686
RM0136,RM0174,0.6174999999999999,1,200000000.0,2,2,0.07142857142857142,4,1,0.006566666666666721
RM0136,RM0143,0.734,1,1500000000.0,2,2,0.0625,3,1,0.0010999999999999899
RM0136,RM0108,0.783,3,550000000.0,3,3,0.038461538461538464,4,1,0.05030000000000001
RM0136,RM0030,0.6545,1,2000000000.0,2,2,0.06666666666666667,3,1,0.021100000000000008
RM0136,RM0017,0.60775,3,1200000000.0,4,2,0.13333333333333333,3,2,0.02122499999999994
RM0136,RM0021,0.705,2,500000000.0,2,3,0.05555555555555555,3,1,0.04409999999999992
RM0136,RM0203,0.721,3,1875000000.0,4,3,0.07407407407407407,4,2,0.08264545454545458
RM0136,RM0084,0.794,2,875000000.0,3,2,0.06666666666666667,2,1,0.11097499999999993
RM0136,RM0248,0.7215714285714286,2,3100000000.0,7,2,0.14285714285714285,4,3,0.02277499999999999
RM0136,RM0197,0.5796666666666667,3,300000000.0,3,3,0.047619047619047616,4,1,0.012166666666666659
RM0136,RM0049,0.76025,4,3250000000.0,4,3,0.07407407407407407,4,2,0.03351666666666653
RM0136,RM0026,0.69225,2,400000000.0,4,3,0.14285714285714285,3,2,0.05522499999999997
RM0136,RM0189,0.6895,4,4575000000.0,8,3,0.2222222222222222,4,4,0.07902307692307686
RM0136,RM0107,0.6975999999999999,1,1425000000.0,5,1,0.15384615384615385,4,2,0.05167142857142848
RM0136,RM0029,0.5915,3,750000000.0,2,3,0.043478260869565216,4,1,0.04298235294117647
RM0136,RM0244,0.719,1,1200000000.0,2,2,0.06666666666666667,3,1,0.011528571428571444
RM0136,RM0240,0.6526666666666667,4,1500000000.0,6,3,0.16666666666666666,4,3,0.0003166666666666318
RM0136,RM0252,0.8093333333333333,2,500000000.0,3,3,0.047619047619047616,4,1,0.024699999999999944
RM0136,RM0231,0.660888888888889,2,1900000000.0,9,3,0.2222222222222222,4,4,0.006900000000000017
RM0136,RM0156,0.6621428571428571,3,2675000000.0,7,2,0.15789473684210525,4,3,0.05788571428571432
RM0136,RM0055,0.6387499999999999,5,650000000.0,4,3,0.08,4,2,0.04278421052631576
RM0136,RM0171,0.7270000000000001,2,1850000000.0,5,3,0.1111111111111111,4,2,0.0217666666666666
RM0136,RM0216,0.6657142857142856,4,1250000000.0,7,3,0.125,4,3,0.03719523809523806
RM0136,RM0003,0.6072,1,1125000000.0,5,1,0.11764705882352941,3,2,0.03753636363636359
RM0136,RM0007,0.6898000000000001,3,2975000000.0,10,3,0.23529411764705882,4,4,0.0488142857142857
RM0136,RM0238,0.6818,2,1850000000.0,5,2,0.11764705882352941,4,2,0.015900000000000025
RM0136,RM0235,0.6785,2,300000000.0,2,3,0.058823529411764705,4,1,0.013645454545454516
RM0136,RM0013,0.587,3,500000000.0,2,2,0.05263157894736842,4,1,0.009554545454545482
RM0136,RM0059,0.595,4,1950000000.0,4,3,0.08333333333333333,4,2,0.04357058823529403
RM0136,RM0058,0.6779999999999999,1,250000000.0,2,1,0.07142857142857142,3,1,0.008433333333333293
RM0136,RM0141,0.702,3,675000000.0,4,3,0.11764705882352941,4,2,0.01855454545454549
RM0136,RM0161,0.6685,3,1000000000.0,2,3,0.05,4,1,0.047023076923076945
RM0136,RM0227,0.6998,3,325000000.0,5,3,0.1111111111111111,4,2,0.055433333333333334
RM0136,RM0036,0.706125,4,2775000000.0,8,3,0.19047619047619047,4,4,0.04722499999999996
RM0136,RM0229,0.636,3,1400000000.0,3,3,0.041666666666666664,4,1,0.0310473684210526
RM0136,RM0166,0.812,3,825000000.0,2,2,0.05263157894736842,4,1,0.07569999999999999
RM0136,RM0158,0.6977500000000001,3,1050000000.0,4,3,0.14285714285714285,4,2,0.03752857142857147
RM0136,RM0251,0.6918333333333333,4,1225000000.0,6,3,0.09090909090909091,4,2,0.05557058823529415
RM0136,RM0221,0.7355,1,1500000000.0,2,1,0.08333333333333333,3,1,0.03634999999999999
RM0136,RM0020,0.6563333333333333,2,450000000.0,3,2,0.0625,3,1,0.04322499999999996
RM0136,RM0083,0.6789999999999999,2,2350000000.0,6,2,0.15,4,3,0.011566666666666725
RM0136,RM0095,0.6385000000000001,1,500000000.0,2,2,0.05,4,1,0.07373333333333332
RM0136,RM0148,0.8345,2,125000000.0,2,2,0.05263157894736842,4,1,0.04955454545454552
RM0136,RM0111,0.722,2,1500000000.0,2,3,0.06666666666666667,3,1,0.04577500000000001
RM0136,RM0214,0.761,3,1250000000.0,2,2,0.05555555555555555,4,1,0.027200000000000002
RM0136,RM0094,0.6872,2,1300000000.0,5,3,0.11764705882352941,4,2,0.0011727272727273252
RM0136,RM0247,0.687625,2,1125000000.0,8,3,0.14285714285714285,4,3,0.01541249999999994
RM0136,RM0091,0.6936000000000001,2,1475000000.0,5,2,0.1,4,2,0.06009999999999993
RM0136,RM0225,0.673,3,100000000.0,2,3,0.058823529411764705,4,1,0.06609999999999994
RM0136,RM0258,0.6487499999999999,2,1050000000.0,4,2,0.2,2,2,0.06476666666666653
RM0136,RM0224,0.6355,3,825000000.0,2,3,0.05555555555555555,4,1,0.023299999999999987
RM0136,RM0146,0.6575,3,1400000000.0,4,3,0.045454545454545456,4,1,0.03486470588235291
RM0136,RM0237,0.534,3,75000000.0,2,3,0.05555555555555555,4,1,0.018100000000000005
RM0136,RM0134,0.49649999999999994,3,750000000.0,2,2,0.047619047619047616,4,1,0.010028571428571387
RM0136,RM0096,0.6706666666666666,1,850000000.0,3,2,0.05555555555555555,4,1,0.01901666666666657
RM0136,RM0202,0.6743333333333332,2,175000000.0,3,3,0.05263157894736842,4,1,0.038457142857142856
RM0136,RM0232,0.70875,3,800000000.0,4,3,0.08333333333333333,4,2,0.061766666666666636
RM0136,RM0152,0.6396000000000001,4,425000000.0,5,3,0.1111111111111111,3,2,0.007650000000000046
RM0136,RM0027,0.6206666666666666,3,1150000000.0,3,3,0.037037037037037035,4,1,0.019963636363636295
RM0136,RM0102,0.6074999999999999,1,300000000.0,2,1,0.06666666666666667,3,1,0.053957142857142815
RM0136,RM0018,0.621,3,1600000000.0,4,3,0.13333333333333333,4,2,0.006655555555555526
RM0136,RM0170,0.70725,4,1100000000.0,4,3,0.08,4,2,0.01144999999999996
RM0136,RM0124,0.6134444444444446,2,2350000000.0,9,3,0.26666666666666666,4,4,0.005599999999999938
RM0136,RM0155,0.4915,2,1000000000.0,2,3,0.06666666666666667,4,1,0.05575714285714295
RM0136,RM0260,0.605,1,1050000000.0,2,2,0.07142857142857142,4,1,0.016933333333333356
RM0136,RM0113,0.696,4,925000000.0,4,3,0.13333333333333333,4,2,0.08172499999999994
RM0136,RM0187,0.6936,2,1950000000.0,5,2,0.125,4,2,0.01021111111111106
RM0136,RM0164,0.586,2,500000000.0,2,2,0.07692307692307693,3,1,0.006500000000000061
RM0136,RM0135,0.6926666666666668,2,450000000.0,3,2,0.0625,4,1,0.009988888888888825
RM0136,RM0153,0.6825,2,1725000000.0,4,3,0.1111111111111111,3,2,0.0007923076923076477
RM0136,RM0206,0.6944999999999999,2,400000000.0,2,3,0.047619047619047616,4,1,0.04138571428571425
RM0136,RM0073,0.6275,3,1300000000.0,2,3,0.047619047619047616,4,1,0.10774285714285703
RM0136,RM0119,0.802,4,500000000.0,2,3,0.05555555555555555,3,1,0.09129999999999994
RM0136,RM0217,0.638,2,1050000000.0,3,3,0.05555555555555555,4,1,0.007199999999999984
RM0136,RM0022,0.79325,4,800000000.0,4,3,0.09090909090909091,4,2,0.09833529411764708
RM0136,RM0254,0.6619999999999999,2,400000000.0,2,2,0.07142857142857142,2,1,0.03076666666666661
RM0136,RM0079,0.622,2,200000000.0,2,3,0.047619047619047616,4,1,0.04731428571428564
RM0136,RM0067,0.6286666666666667,2,375000000.0,3,2,0.05,4,1,0.01240769230769223
RM0136,RM0070,0.6819999999999999,1,2000000000.0,2,3,0.058823529411764705,4,1,0.0022111111111111637
RM0136,RM0047,0.7437499999999999,4,2275000000.0,4,3,0.08,4,2,0.00876666666666659
RM0136,RM0196,0.669,1,1200000000.0,2,1,0.06666666666666667,4,1,0.03661428571428571
RM0136,RM0068,0.7324999999999999,2,1100000000.0,2,2,0.06666666666666667,4,1,0.03909999999999991
RM0136,RM0080,0.7067142857142857,5,1225000000.0,7,3,0.17647058823529413,4,3,0.03782727272727271
RM0136,RM0024,0.5845,2,300000000.0,2,3,0.045454545454545456,4,1,0.06588571428571421
RM0136,RM0103,0.6305,1,200000000.0,2,2,0.07142857142857142,4,1,0.06243333333333334
RM0136,RM0228,0.598,3,500000000.0,2,2,0.06666666666666667,4,1,0.03509999999999991
RM0136,RM0167,0.7989999999999999,3,350000000.0,2,3,0.043478260869565216,4,1,0.052629411764705814
RM0136,RM0064,0.768,1,650000000.0,2,3,0.05555555555555555,4,1,0.010149999999999992
RM0136,RM0032,0.6819999999999999,2,700000000.0,2,2,0.047619047619047616,4,1,0.020162499999999972
RM0136,RM0245,0.597,2,1050000000.0,2,3,0.05,4,1,0.06866923076923082
RM0136,RM0006,0.6265,3,1000000000.0,4,2,0.15384615384615385,3,2,0.0586714285714286
RM0136,RM0178,0.5705,3,750000000.0,2,3,0.045454545454545456,4,1,0.04828749999999993
RM0136,RM0125,0.6895,2,800000000.0,2,2,0.058823529411764705,4,1,0.07450000000000001
RM0136,RM0219,0.6576666666666666,1,800000000.0,3,2,0.058823529411764705,4,1,0.04059999999999997
RM0136,RM0099,0.7829999999999999,3,825000000.0,2,3,0.05555555555555555,4,1,0.08176666666666665
RM0136,RM0160,0.74625,2,1775000000.0,4,3,0.1111111111111111,4,2,0.08694615384615378
RM0136,RM0199,0.8109999999999999,2,125000000.0,2,2,0.07142857142857142,2,1,0.010233333333333317
RM0136,RM0198,0.6789999999999999,2,1600000000.0,6,3,0.08,4,2,0.06152857142857138
RM0136,RM0209,0.72725,3,925000000.0,4,3,0.14285714285714285,4,2,0.07021111111111111
RM0136,RM0088,0.7933999999999999,4,1975000000.0,5,3,0.09090909090909091,4,2,0.030849999999999933
RM0136,RM0078,0.561,1,150000000.0,3,3,0.047619047619047616,4,1,0.024599999999999955
RM0136,RM0137,0.6212500000000001,5,950000000.0,4,3,0.07692307692307693,4,2,0.03305454545454545
RM0136,RM0255,0.6302,3,700000000.0,5,3,0.10526315789473684,3,2,0.044330769230769285
RM0136,RM0176,0.6795714285714286,5,1925000000.0,7,3,0.15,4,3,0.0416333333333333
RM0136,RM0090,0.7429999999999999,2,1000000000.0,4,3,0.09090909090909091,4,2,0.05823333333333325
RM0136,RM0118,0.6589999999999999,2,425000000.0,4,2,0.09523809523809523,4,2,0.05531428571428565
RM0136,RM0123,0.5975,2,500000000.0,2,3,0.058823529411764705,4,1,0.054627272727272747
RM0089,RM0045,0.6725,2,600000000.0,2,4,0.058823529411764705,3,1,0.009083333333333221
RM0089,RM0230,0.6769999999999999,2,850000000.0,5,4,0.14285714285714285,3,2,0.00749999999999984
RM0089,RM0182,0.6839999999999999,3,550000000.0,2,4,0.0625,3,1,0.028000000000000025
RM0089,RM0100,0.6479999999999999,3,250000000.0,2,4,0.04,3,1,0.020166666666666777
RM0089,RM0104,0.6559999999999999,1,500000000.0,2,4,0.05,3,1,0.053199999999999914
RM0089,RM0139,0.5105,1,500000000.0,2,2,0.1,3,1,0.01873333333333327
RM0089,RM0257,0.6052,3,1200000000.0,5,4,0.10526315789473684,3,2,0.010568627450980306
RM0089,RM0211,0.6468333333333333,4,2800000000.0,6,4,0.15,3,3,0.03759649122807007
RM0089,RM0147,0.5825,1,700000000.0,2,1,0.09090909090909091,2,1,0.10549999999999993
RM0089,RM0106,0.6465000000000001,3,1100000000.0,2,4,0.04,3,1,0.022287878787878634
RM0089,RM0208,0.6905,2,400000000.0,4,4,0.14285714285714285,3,2,0.027966666666666806
RM0089,RM0169,0.64525,3,1250000000.0,4,3,0.1111111111111111,3,2,0.05466666666666686
RM0089,RM0132,0.6435,2,1500000000.0,2,3,0.06666666666666667,2,1,0.004424242424242331
RM0089,RM0140,0.6865,2,350000000.0,2,4,0.0625,3,1,0.04991666666666672
RM0089,RM0060,0.6545000000000001,3,475000000.0,4,4,0.1,3,2,0.013333333333333197
RM0089,RM0044,0.69575,3,2250000000.0,4,4,0.1,3,2,0.028166666666666784
RM0089,RM0249,0.7605,2,175000000.0,2,4,0.08333333333333333,2,1,0.04290476190476178
RM0089,RM0213,0.6783333333333333,5,1975000000.0,6,4,0.17647058823529413,3,3,0.026761904761904542
RM0089,RM0188,0.61,1,350000000.0,2,3,0.07692307692307693,3,1,0.028444444444444383
RM0089,RM0031,0.621,2,400000000.0,2,4,0.05555555555555555,3,1,0.010976190476190473
RM0089,RM0042,0.7424999999999999,4,300000000.0,2,4,0.05555555555555555,3,1,0.019619047619047425
RM0089,RM0086,0.61275,2,450000000.0,4,4,0.16666666666666666,2,2,0.016291666666666815
RM0089,RM0261,0.659,2,1050000000.0,4,3,0.18181818181818182,2,2,0.042952380952381075
RM0089,RM0253,0.6785,3,300000000.0,2,4,0.045454545454545456,3,1,0.004666666666666708
RM0089,RM0185,0.6835,1,275000000.0,2,3,0.058823529411764705,3,1,0.0012500000000000844
RM0089,RM0002,0.696,3,500000000.0,2,4,0.05555555555555555,3,1,0.038066666666666804
RM0089,RM0130,0.6905,4,1075000000.0,2,4,0.0625,3,1,0.025969696969696865
RM0089,RM0005,0.7735000000000001,3,1750000000.0,2,3,0.07142857142857142,3,1,0.07516666666666671
RM0089,RM0019,0.6635,2,950000000.0,2,4,0.05555555555555555,3,1,0.028400000000000092
RM0089,RM0204,0.685,4,575000000.0,4,4,0.09090909090909091,3,2,0.013016666666666787
RM0089,RM0200,0.693,4,1250000000.0,7,4,0.17647058823529413,3,3,0.0018333333333332424
RM0089,RM0076,0.71475,2,850000000.0,4,3,0.25,2,2,0.007416666666666738
RM0089,RM0009,0.6955,4,650000000.0,4,4,0.15384615384615385,3,2,0.045666666666666855
RM0089,RM0190,0.5443333333333333,1,1200000000.0,3,3,0.07692307692307693,3,1,0.041133333333333244
RM0089,RM0154,0.7304999999999999,3,1275000000.0,4,4,0.08,3,2,0.0343030303030305
RM0089,RM0168,0.6565000000000001,3,2000000000.0,2,4,0.05263157894736842,3,1,0.0008666666666665712
RM0089,RM0236,0.6074999999999999,4,500000000.0,2,4,0.043478260869565216,3,1,0.03014285714285725
RM0089,RM0033,0.6445,2,700000000.0,2,4,0.05555555555555555,3,1,0.01519999999999988
RM0089,RM0038,0.72725,3,1225000000.0,4,4,0.09090909090909091,3,2,0.009133333333333216
RM0089,RM0222,0.6045,1,1000000000.0,2,2,0.1,1,1,0.11573333333333324
RM0089,RM0128,0.7185,2,225000000.0,2,4,0.043478260869565216,3,1,0.01512280701754376
RM0089,RM0116,0.722,3,1075000000.0,2,3,0.07692307692307693,3,1,0.05266666666666675
RM0089,RM0163,0.6335,3,275000000.0,4,4,0.125,2,2,0.02299999999999991
RM0089,RM0097,0.78925,4,1275000000.0,4,4,0.13333333333333333,3,2,0.023205128205128323
RM0089,RM0183,0.7385714285714287,4,2075000000.0,7,4,0.16666666666666666,3,3,0.029041666666666743
RM0089,RM0105,0.59925,3,1600000000.0,4,4,0.14285714285714285,3,2,0.008833333333333249
RM0089,RM0004,0.7,3,1950000000.0,5,4,0.09523809523809523,3,2,0.019857142857143018
RM0089,RM0180,0.5680000000000001,2,200000000.0,2,4,0.0625,3,1,0.008416666666666517
RM0089,RM0239,0.76725,3,2450000000.0,4,4,0.1111111111111111,3,2,0.044809523809523855
RM0089,RM0159,0.6845,2,300000000.0,2,3,0.1,3,1,0.021666666666666723
RM0089,RM0048,0.6619999999999999,2,500000000.0,2,3,0.0625,3,1,0.03575757575757588
RM0089,RM0040,0.7095,3,1075000000.0,2,4,0.05263157894736842,3,1,0.03383333333333316
RM0089,RM0071,0.6187499999999999,3,1100000000.0,4,3,0.15384615384615385,3,2,0.025966666666666804
RM0089,RM0011,0.5435,3,200000000.0,2,4,0.058823529411764705,3,1,0.0016410256410255286
RM0089,RM0172,0.7342,3,600000000.0,5,3,0.10526315789473684,3,2,0.003479166666666811
RM0089,RM0028,0.7115,4,1075000000.0,2,3,0.07142857142857142,2,1,0.07533333333333336
RM0089,RM0162,0.7046666666666667,2,650000000.0,3,4,0.0625,3,1,0.0076666666666667105
RM0089,RM0109,0.5755,3,200000000.0,2,4,0.058823529411764705,3,1,0.05449999999999988
RM0089,RM0017,0.6995,4,1775000000.0,4,3,0.16666666666666666,2,2,0.0032083333333332575
RM0089,RM0084,0.5549999999999999,1,100000000.0,2,2,0.08333333333333333,1,1,0.08654166666666674
RM0089,RM0248,0.61,4,625000000.0,6,3,0.16666666666666666,3,3,0.047208333333333186
RM0089,RM0081,0.59825,2,1450000000.0,4,4,0.125,3,2,0.022641025641025547
RM0089,RM0197,0.742,3,350000000.0,2,4,0.05555555555555555,3,1,0.012266666666666537
RM0089,RM0210,0.6795000000000001,4,3200000000.0,8,4,0.3333333333333333,3,4,0.03866666666666674
RM0089,RM0101,0.7222500000000001,2,1525000000.0,4,4,0.18181818181818182,3,2,0.04008333333333325
RM0089,RM0115,0.696,3,700000000.0,2,3,0.09090909090909091,2,1,0.10966666666666658
RM0089,RM0049,0.639,4,475000000.0,4,4,0.08333333333333333,3,2,0.009083333333333332
RM0089,RM0026,0.631,1,700000000.0,3,4,0.08333333333333333,2,1,0.030791666666666773
RM0089,RM0072,0.616,2,275000000.0,2,3,0.07142857142857142,3,1,0.017111111111110966
RM0089,RM0189,0.6375,3,1500000000.0,2,4,0.05555555555555555,3,1,0.05458974358974367
RM0089,RM0029,0.691,3,1225000000.0,7,4,0.16666666666666666,3,3,0.018549019607843276
RM0089,RM0240,0.6795,2,400000000.0,2,4,0.058823529411764705,3,1,0.024749999999999828
RM0089,RM0175,0.55925,2,1200000000.0,4,3,0.125,2,2,0.02949999999999986
RM0089,RM0220,0.5545,1,1000000000.0,2,1,0.1111111111111111,3,1,0.11333333333333317
RM0089,RM0252,0.7695000000000001,4,1200000000.0,2,4,0.05555555555555555,3,1,0.0002666666666667483
RM0089,RM0093,0.714,3,250000000.0,2,3,0.06666666666666667,3,1,0.03383333333333338
RM0089,RM0231,0.58,3,200000000.0,2,4,0.05555555555555555,3,1,0.03133333333333321
RM0089,RM0150,0.608,1,250000000.0,2,3,0.06666666666666667,3,1,0.015696969696969654
RM0089,RM0055,0.5525,4,100000000.0,2,4,0.043478260869565216,3,1,0.018350877192982562
RM0089,RM0171,0.6525000000000001,2,850000000.0,2,4,0.0625,3,1,0.002666666666666595
RM0089,RM0156,0.4845,4,500000000.0,2,3,0.05555555555555555,3,1,0.03345238095238112
RM0089,RM0235,0.664,4,2125000000.0,8,4,0.25,3,3,0.01078787878787868
RM0089,RM0216,0.5905,4,350000000.0,2,3,0.043478260869565216,3,1,0.012761904761904863
RM0089,RM0238,0.6915,2,950000000.0,2,4,0.06666666666666667,3,1,0.04033333333333322
RM0089,RM0013,0.696,2,150000000.0,2,3,0.0625,3,1,0.014878787878787714
RM0089,RM0141,0.6815,2,800000000.0,2,3,0.06666666666666667,3,1,0.005878787878787706
RM0089,RM0227,0.5994999999999999,3,550000000.0,2,4,0.0625,3,1,0.03100000000000014
RM0089,RM0229,0.708,3,150000000.0,2,3,0.047619047619047616,3,1,0.006614035087719405
RM0089,RM0166,0.7161666666666666,3,2175000000.0,6,3,0.13333333333333333,3,2,0.051266666666666794
RM0089,RM0158,0.49,3,500000000.0,2,2,0.08333333333333333,3,1,0.01309523809523827
RM0089,RM0020,0.751,2,575000000.0,2,3,0.07692307692307693,2,1,0.018791666666666762
RM0089,RM0083,0.6345000000000001,1,400000000.0,2,3,0.05263157894736842,3,1,0.01286666666666647
RM0089,RM0148,0.7058333333333334,3,1875000000.0,6,3,0.21428571428571427,3,3,0.025121212121212322
RM0089,RM0111,0.6619999999999999,3,1100000000.0,2,3,0.08333333333333333,2,1,0.0702083333333332
RM0089,RM0214,0.752,1,250000000.0,2,2,0.06666666666666667,3,1,0.0516333333333332
RM0089,RM0051,0.59,2,200000000.0,2,4,0.08333333333333333,3,1,0.017619047619047534
