cluster_a,cluster_b,weight
10,11,1011.0303030303028
2,11,160.0
28,37,88.0
28,38,124.0
25,28,200.0
1,28,192.0
17,28,166.0
10,28,176.0
8,28,124.0
14,28,126.0
12,28,112.0
4,28,92.0
11,34,174.0
11,20,126.0
11,30,182.0
11,37,128.0
10,31,182.0
18,31,80.0
19,31,150.0
31,33,1079.5151515151513
28,31,80.0
9,31,106.0
8,31,92.0
25,31,260.0
5,31,114.0
14,31,138.0
4,31,120.0
0,31,106.0
20,31,761.8181818181818
2,31,110.0
31,37,100.0
22,31,108.0
2,32,152.0
2,33,218.0
1,2,276.0
2,37,138.0
2,29,274.0
2,7,134.0
2,30,198.0
2,17,214.0
2,4,134.0
2,38,188.0
2,5,184.0
2,19,202.0
2,36,196.0
2,18,160.0
2,25,324.0
2,20,116.0
2,12,922.7412587412587
22,37,148.0
18,22,130.0
14,22,182.0
10,22,220.0
20,22,126.0
4,22,156.0
4,37,114.0
19,37,180.0
33,37,192.0
36,37,928.7272727272725
34,37,92.0
13,37,186.0
12,37,908.7272727272725
25,37,196.0
30,37,160.0
14,37,128.0
35,37,174.0
32,37,110.0
10,37,152.0
17,37,136.0
37,38,148.0
15,37,128.0
18,37,88.0
5,37,118.0
7,37,92.0
4,18,106.0
4,25,230.0
4,19,162.0
4,30,986.181818181818
4,38,188.0
4,15,110.0
4,14,122.0
4,5,104.0
4,34,126.0
4,6,96.0
4,20,112.0
4,12,122.0
4,7,126.0
4,32,126.0
9,25,216.0
9,10,202.0
9,19,1071.090909090909
5,9,108.0
9,34,96.0
9,18,90.0
8,9,136.0
9,27,92.0
9,33,196.0
9,30,150.0
9,15,74.0
14,18,906.0
14,19,188.0
12,14,124.0
14,30,158.0
14,20,118.0
8,14,120.0
5,14,924.181818181818
7,22,126.0
17,22,174.0
22,38,210.0
5,22,126.0
4,17,192.0
4,8,102.0
4,9,96.0
4,33,196.0
25,32,284.0
15,25,212.0
8,25,264.0
25,27,212.0
19,25,338.0
25,34,284.0
25,30,302.0
25,33,396.0
11,25,262.0
5,25,220.0
5,15,106.0
5,30,146.0
5,8,128.0
5,19,982.181818181818
0,5,136.0
5,32,120.0
5,7,96.0
5,34,114.0
6,38,102.0
6,20,68.0
0,8,148.0
13,31,136.0
30,31,122.0
17,25,298.0
7,25,254.0
5,33,198.0
20,33,164.0
14,33,226.0
12,33,198.0
8,33,228.0
7,33,202.0
15,33,178.0
33,34,224.0
11,32,182.0
11,19,178.0
14,38,176.0
14,34,126.0
7,32,120.0
7,19,170.0
7,20,106.0
7,35,174.0
7,30,164.0
0,7,124.0
7,38,164.0
7,9,98.0
7,18,80.0
7,11,124.0
7,15,98.0
7,31,96.0
21,25,254.0
18,25,228.0
25,38,316.0
20,25,202.0
18,21,130.0
9,21,906.0
10,21,210.0
12,21,124.0
15,23,68.0
18,33,176.0
33,38,260.0
30,33,298.0
33,36,244.0
17,33,266.0
19,38,254.0
31,38,154.0
30,38,260.0
20,38,172.0
9,38,128.0
13,38,248.0
15,38,170.0
31,32,106.0
17,31,146.0
15,28,78.0
27,28,96.0
24,34,184.0
13,18,202.0
13,27,1053.090909090909
30,35,238.0
15,30,144.0
8,30,1006.9090909090909
30,32,204.0
30,34,176.0
20,30,166.0
10,30,264.0
19,30,250.0
19,34,168.0
19,33,318.0
15,19,174.0
17,19,240.0
12,19,192.0
8,19,174.0
7,8,954.181818181818
8,36,156.0
8,34,144.0
8,38,136.0
8,26,174.0
8,11,128.0
8,18,106.0
8,20,112.0
8,17,176.0
2,15,164.0
14,15,128.0
12,15,130.0
15,16,126.0
8,15,134.0
15,34,1001.6363636363633
15,32,136.0
15,18,108.0
15,36,132.0
15,20,100.0
20,34,106.0
20,27,66.0
17,20,1009.0909090909089
20,36,118.0
20,37,82.0
5,20,64.0
20,32,100.0
9,20,86.0
19,20,142.0
18,20,88.0
16,38,186.0
19,32,190.0
19,21,220.0
18,34,140.0
34,36,142.0
29,34,206.0
27,34,138.0
34,35,232.0
2,34,148.0
32,34,146.0
28,34,94.0
21,34,146.0
7,34,126.0
34,38,138.0
26,34,158.0
17,21,192.0
18,27,118.0
2,27,156.0
27,32,110.0
8,27,132.0
12,27,112.0
7,27,80.0
27,38,104.0
27,30,114.0
18,35,170.0
15,35,180.0
2,8,228.0
8,32,124.0
9,12,112.0
12,32,116.0
31,34,130.0
17,34,188.0
10,38,232.0
10,32,206.0
10,20,192.0
17,29,344.0
17,24,256.0
17,30,258.0
17,36,170.0
17,32,154.0
9,17,152.0
13,17,246.0
14,17,146.0
2,14,130.0
24,27,152.0
1,18,200.0
1,5,148.0
7,17,176.0
17,38,218.0
17,26,188.0
17,18,134.0
15,17,120.0
32,33,250.0
9,37,82.0
27,37,92.0
5,38,138.0
5,18,98.0
5,12,66.0
5,17,158.0
30,36,212.0
2,9,148.0
9,14,110.0
9,32,140.0
8,37,98.0
18,30,128.0
32,38,172.0
17,27,110.0
19,36,226.0
18,36,148.0
15,31,86.0
18,32,132.0
10,18,168.0
18,19,140.0
18,38,118.0
20,28,72.0
7,21,114.0
